beruf,titel,refnr,arbeitgeber,aktuelleVeroeffentlichungsdatum,modifikationsTimestamp,eintrittsdatum,externeUrl,arbeitsort.plz,arbeitsort.ort,arbeitsort.strasse,arbeitsort.region,arbeitsort.land,arbeitsort.koordinaten.lat,arbeitsort.koordinaten.lon,kundennummerHash
Verkäufer/in,Verkäufer auf Teilzeitbasis 20 Wochenstunden (m/w/d),14048-582365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:42:58.033,2026-03-01,,24939,Flensburg,null,Schleswig-Holstein,Deutschland,54.799681132001,9.41627142,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Verkäufer/in,Verkäufer auf Teilzeitbasis 20 Wochenstunden (m/w/d),14048-882365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:42:57.946,2026-03-01,,24937,Flensburg,null,Schleswig-Holstein,Deutschland,54.786886154001,9.432385301,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Verkäufer/in,Verkäufer auf Teilzeitbasis 20 Wochenstunden (m/w/d),14048-782365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:42:57.862,2026-03-01,,24944,Flensburg,null,Schleswig-Holstein,Deutschland,54.81168272,9.475197687,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Verkäufer/in,Verkäufer auf Teilzeitbasis 20 Wochenstunden (m/w/d),14048-482365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:42:57.743,2026-03-01,,23843,Bad Oldesloe,null,Schleswig-Holstein,Deutschland,53.814303659,10.373198414,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Verkäufer/in,Verkäufer auf Teilzeitbasis 20 Wochenstunden (m/w/d),14048-682365800046e62f-S,TEDi GmbH & Co. KG,2026-03-01,2026-03-01T08:42:57.663,2026-03-01,,24937,Flensburg,null,Schleswig-Holstein,Deutschland,54.786886154001,9.432385301,FRZBFXb4aQpA8DLUImVuoEnFAEyt2Zc7CnOuERc1uLU=
Fachlagerist/in,Fachlagerist (m/w/d),12210-8c837ba0d41447a-S,DIE JOBMACHER GmbH,2026-03-01,2026-03-01T08:42:41.611,2026-03-01,,24941,Flensburg,null,Schleswig-Holstein,Deutschland,54.767366805001,9.407315557,-7vxEmFwyAFzjFgq3Gl277A0ixFDRb0l8MNiN7XYens=
Mechatroniker/in,Mechatroniker (m/w/d),12704-2EEOIEM5Z41ENXWZ-S,SYNERGIE Personal HR GmbH Niederlassung Lübeck SYNERGIE,2026-03-01,2026-03-01T08:34:28.298,2026-03-01,,23623,Ahrensbök,null,Schleswig-Holstein,Deutschland,54.003922854001,10.561214452,w-VNIYKkobKfy-SniqOMC-C3TXmVgepNuV-oVWjsIeo=
Oberarzt/-ärztin,Oberarzt (m/w/d) Psychiatrie und Psychotherapie,13356-382372A046601C11-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:34:27.907,2026-03-01,,24105,Kiel,null,Schleswig-Holstein,Deutschland,54.337851513,10.143083807,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Assistenzarzt/-ärztin,Assistenzarzt (m/w/d) Gynäkologie und Geburtshilfe,13356-85211A40713C4-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:34:24.424,2026-03-01,,25826,Sankt Peter-Ording,null,Schleswig-Holstein,Deutschland,54.31193887,8.638553291,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Facharzt/-ärztin - Arbeitsmedizin,Facharzt (m/w/d) für die Arbeitsmedizin,13356-85186A36755C20-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:34:11.143,2026-03-01,,,"Neumünster, Holstein",null,Schleswig-Holstein,Deutschland,54.079990190001,9.983956368,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Assistenzarzt/-ärztin,Assistenzarzt (m/w/d) Psychosomatik und Psychotherapie,13356-85242A45114C7-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:34:05.239,2026-03-01,,,Lübeck,null,Schleswig-Holstein,Deutschland,53.884603115,10.717440774,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Facharzt/-ärztin - Allgemeinmedizin (Hausarzt/-ärztin),Oberarzt (m/w/d) für die Notfallmedizin,13356-855051A41379C11-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:30:32.683,2026-03-01,,25826,Sankt Peter-Ording,null,Schleswig-Holstein,Deutschland,54.31193887,8.638553291,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Facharzt/-ärztin - Psychiatrie und Psychotherapie,Oberarzt (m/w/d) in der Psychiatrie und Psychotherapie,13356-855041A40714C13-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:30:22.349,2026-03-01,,25826,Sankt Peter-Ording,null,Schleswig-Holstein,Deutschland,54.31193887,8.638553291,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Assistenzarzt/-ärztin,Assistenzarzt (m/w/d) in Weiterbildung Arbeitsmedizin,13356-025265A046775C10-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:30:20.303,2026-03-01,,24837,Schleswig,null,Schleswig-Holstein,Deutschland,54.519331004,9.553257635,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Facharzt/-ärztin - Neurologie,Facharzt (m/w/d) für Neurologie,13356-047298A046435C6-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:30:19.089,2026-03-01,,24103,Kiel,null,Schleswig-Holstein,Deutschland,54.32309168,10.131796673,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Assistenzarzt/-ärztin,Assistenzarzt (m/w/d) für die Innere Medizin und Kardiologie,13356-85221A40712C14-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:26:31.018,2026-03-01,,25826,Sankt Peter-Ording,null,Schleswig-Holstein,Deutschland,54.31193887,8.638553291,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Oberarzt/-ärztin,Oberarzt (m/w/d) Zentrale Notaufnahme,13356-982211A046600C11-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:26:25.593,2026-03-01,,24768,Rendsburg,null,Schleswig-Holstein,Deutschland,54.302468541001,9.652598776,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Facharzt/-ärztin - Innere Medizin und Gastroenterologie,Oberarzt (m/w/d) für die Innere Medizin und Gastroenterologie,13356-855012A41197C13-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:22:37.488,2026-03-01,,25826,Sankt Peter-Ording,null,Schleswig-Holstein,Deutschland,54.31193887,8.638553291,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Facharzt/-ärztin - Laboratoriumsmedizin,Facharzt (m/w/d) für die Laboratoriumsmedizin,13356-851825A43635C9-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:22:31.559,2026-03-01,,,Kiel,null,Schleswig-Holstein,Deutschland,54.331522406,10.139105658,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Facharzt/-ärztin - Frauenheilkunde und Geburtshilfe,Oberarzt (m/w/d) Gynäkologie und Geburtshilfe,13356-855011A43463C6-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:22:16.443,2026-03-01,,25826,Sankt Peter-Ording,null,Schleswig-Holstein,Deutschland,54.31193887,8.638553291,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Facharzt/-ärztin - Innere Medizin und Hämatologie und Onkologie,Oberarzt (m/w/d) in der Inneren Medizin und Hämatologie und Onkologie,13356-855016A43461C6-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:22:14.698,2026-03-01,,25826,Sankt Peter-Ording,null,Schleswig-Holstein,Deutschland,54.31193887,8.638553291,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Facharzt/-ärztin - Pathologie,Facharzt (m/w/d) für Pathologie,18024-100PC000AXX0l-S,MVZ für Pathologie und Laboratoriumsmedizin Dr. Rabenhorst GmbH,2026-03-01,2026-03-01T08:22:12.097,2026-04-01,https://helixjobs.com/_/jobad?prj=1562p40519&source=ba,,Kiel,null,Schleswig-Holstein,Deutschland,54.3315224,10.1391057,
Facharzt/-ärztin - Allgemeinchirurgie,Facharzt (m/w/d) für Allgemeinchirurgie oder Facharzt (m/w/d) für Orthopädie und Unfallchirurgie,18024-100PC000ARg0n-S,amedes MVZ für Chirurgie Husum GmbH,2026-03-01,2026-03-01T08:22:11.88,2026-03-31,https://helixjobs.com/_/jobad?prj=1562p40156&source=ba,,Flensburg,null,Schleswig-Holstein,Deutschland,54.7864951,9.4353143,
Oberarzt/-ärztin,Oberarzt (m/w/d) für die Geriatrie,13356-855014A45566C4-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:22:11.225,2026-03-01,,,Lübeck,null,Schleswig-Holstein,Deutschland,53.884603115,10.717440774,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Betriebsingenieur/in,Techniker/Ingenieur als Betriebsingenieur in der chemischen Industrie (m/w/d),12194-THDAVB6XACZRKHYK-S,Oswald Iden Engineering GmbH & Co. KG,2026-03-01,2026-03-01T08:22:11.166,2026-03-01,,25541,Brunsbüttel,null,Schleswig-Holstein,Deutschland,53.912711294,9.126821185,PJziQFUx7wi8OmowFg-000ZYukMiMZqKwNyQtmafeeY=
Facharzt/-ärztin - Kinder- und Jugendmedizin,Facharzt (m/w/d) für Kinder- und Jugendmedizin,13356-851823A41383C9-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:22:11.111,2026-03-01,,25826,Sankt Peter-Ording,null,Schleswig-Holstein,Deutschland,54.31193887,8.638553291,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Konstrukteur/in - Elektrotechnik,Techniker/Ingenieur als Leiter Elektrokonstruktion im Sondermaschinenbau (m/w/d),12194-UFBPIHGYTDVYS7N6-S,Oswald Iden Engineering GmbH & Co. KG,2026-03-01,2026-03-01T08:22:11.033,2026-03-01,,25578,Dägeling,null,Schleswig-Holstein,Deutschland,53.879851157,9.527495211,PJziQFUx7wi8OmowFg-000ZYukMiMZqKwNyQtmafeeY=
Facharzt/-ärztin - Innere Medizin und Hämatologie und Onkologie,Oberarzt (m/w/d) für Innere Medizin und Pneumologie,13356-855040A43465C6-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:17:22.04,2026-03-01,,25826,Sankt Peter-Ording,null,Schleswig-Holstein,Deutschland,54.31193887,8.638553291,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Facharzt/-ärztin - Arbeitsmedizin,Facharzt (m/w/d) für die Arbeitsmedizin,13356-85186A46133C2-S,BS Menzel GmbH,2026-03-01,2026-03-01T08:17:21.791,2026-03-01,,25992,Jugendseeheim Kassel,null,Schleswig-Holstein,Deutschland,55.0226,8.4147,_YsxvFs0dq3VJPZg7_vPkRZbSpK_4sOFqD_0aMk38hk=
Heilerziehungspfleger/in,Heilerziehungspfleger Norderstedt (m/w/d),12916-0009X0333044024-S,Bräse   Hagedorn GmbH,2026-03-01,2026-03-01T08:13:27.572,2026-03-01,,22844,Norderstedt,null,Schleswig-Holstein,Deutschland,53.727277053,9.995631862,BamkFjV_wtzZn0yGDrBvYyM7T2jVVWGqN5eKzxbrYus=
Erzieher/in,Erzieher Pinneberg (m/w/d),12916-0008X0333044020-S,Bräse   Hagedorn GmbH,2026-03-01,2026-03-01T08:13:27.339,2026-03-01,,25421,Pinneberg,null,Schleswig-Holstein,Deutschland,53.648429167,9.792865148,BamkFjV_wtzZn0yGDrBvYyM7T2jVVWGqN5eKzxbrYus=
Leiter/in - Personal,Leitung Personalmanagement  (m/w/d),18024-10Q2L00001w01-S,VR Bank in Holstein eG,2026-03-01,2026-03-01T08:05:17.221,2026-03-31,https://helixjobs.com/_/jobad?prj=100089p120&source=ba,25421,Pinneberg,null,Schleswig-Holstein,Deutschland,53.6484292,9.7928651,
Bankkaufmann/-frau,Nachwuchs-Trainer (m/w/d),18024-10Q2L00000901-S,VR Bank in Holstein eG,2026-03-01,2026-03-01T08:05:17.026,2026-03-31,https://helixjobs.com/_/jobad?prj=100089p9&source=ba,25421,Pinneberg,null,Schleswig-Holstein,Deutschland,53.6484292,9.7928651,
Fachkraft - Lagerlogistik,Starte als Kommissionierer (m/w/d) im Logistikbereich!,13232-KBIRE97GGPVBUMF9-S,CONVENT Personalmanagement GmbH,2026-03-01,2026-03-01T08:04:04.911,2026-03-01,,24534,"Neumünster, Holstein",null,Schleswig-Holstein,Deutschland,54.074543147,9.981040648,L4trG7GS1qgdjGNOGEwek860ZDLNQiWYJz7CSk0OC8I=
Fachlagerist/in,Du möchtest Handys verpacken? - Einfache Lagerarbeit,13232-5LOASJF27EDN5MKS-S,CONVENT Personalmanagement GmbH,2026-03-01,2026-03-01T08:04:04.518,2026-03-01,,24534,"Neumünster, Holstein",null,Schleswig-Holstein,Deutschland,54.074543147,9.981040648,L4trG7GS1qgdjGNOGEwek860ZDLNQiWYJz7CSk0OC8I=
Leiter/in - Vertrieb,Teamleiter Technischer Vertriebsinnendienst (d/m/w) (m/w/d),12032-RG2B71261-S,DIEPA GmbH Filiale Flensburg,2026-03-01,2026-03-01T08:00:15.236,2026-03-01,,24782,Büdelsdorf,null,Schleswig-Holstein,Deutschland,54.318073934,9.680245958,ilTV9VBjcl_SP7Upl0-YMUhuvHorqw01x6uDaCpw-yY=
Leiter/in - Einkauf,Leitung Entwicklung & Konstruktion (d/m/w) (m/w/d),12032-RG2D8E2A1-S,DIEPA GmbH Filiale Flensburg,2026-03-01,2026-03-01T08:00:15.181,2026-03-01,,24782,Büdelsdorf,null,Schleswig-Holstein,Deutschland,54.318073934,9.680245958,ilTV9VBjcl_SP7Upl0-YMUhuvHorqw01x6uDaCpw-yY=
Elektroniker/in - Energie- und Gebäudetechnik,Elektroniker/-in für Energie- und Gebäudetechnik (m/w/d),12032-R62EEF2F1-S,DIEPA GmbH Filiale Flensburg,2026-03-01,2026-03-01T08:00:14.932,2026-03-01,,24941,Flensburg,null,Schleswig-Holstein,Deutschland,54.767366805001,9.407315557,ilTV9VBjcl_SP7Upl0-YMUhuvHorqw01x6uDaCpw-yY=
Elektroniker/in - Energie- und Gebäudetechnik,Elektroniker/-in für Energie- und Gebäudetechnik (m/w/d),12032-R62EE32F1-S,DIEPA GmbH Filiale Flensburg,2026-03-01,2026-03-01T08:00:14.883,2026-03-01,,24768,Rendsburg,null,Schleswig-Holstein,Deutschland,54.302468541001,9.652598776,ilTV9VBjcl_SP7Upl0-YMUhuvHorqw01x6uDaCpw-yY=
Personalreferent/in,HR Business Partner (m/w/d),12032-RG2D8C261-S,DIEPA GmbH Filiale Flensburg,2026-03-01,2026-03-01T08:00:14.827,2026-03-01,,24782,Büdelsdorf,null,Schleswig-Holstein,Deutschland,54.318073934,9.680245958,ilTV9VBjcl_SP7Upl0-YMUhuvHorqw01x6uDaCpw-yY=
Leiter/in - Altenpflegeeinrichtung,Einrichtungsleiter*in Altenhilfe (m/w/d),12032-RG29G6281-S,DIEPA GmbH Filiale Flensburg,2026-03-01,2026-03-01T08:00:14.77,2026-03-01,,24943,Flensburg,null,Schleswig-Holstein,Deutschland,54.788635055,9.472381993,ilTV9VBjcl_SP7Upl0-YMUhuvHorqw01x6uDaCpw-yY=
Operationstechnische/r Assistent/in,Operationstechnische/r Assistent/in (m/w/d),12032-RG23CE2D1-S,DIEPA GmbH Filiale Flensburg,2026-03-01,2026-03-01T08:00:14.704,2026-03-01,,24111,Kiel,null,Schleswig-Holstein,Deutschland,54.301929899,10.066551653,ilTV9VBjcl_SP7Upl0-YMUhuvHorqw01x6uDaCpw-yY=
Krankenschwester/-pfleger,Gesundheits- und Krankenpfleger (m/w/d),12032-RE2247A91-S,DIEPA GmbH Filiale Flensburg,2026-03-01,2026-03-01T08:00:14.649,2026-03-01,,24111,Kiel,null,Schleswig-Holstein,Deutschland,54.301929899,10.066551653,ilTV9VBjcl_SP7Upl0-YMUhuvHorqw01x6uDaCpw-yY=
Fachkrankenpfleger/in - Klinische Geriatrie,Pflegefachkraft (m/w/d) Geriatrie (m/w/d),12032-RG2675261-S,DIEPA GmbH Filiale Flensburg,2026-03-01,2026-03-01T08:00:14.594,2026-03-01,,24939,Flensburg,null,Schleswig-Holstein,Deutschland,54.799681132001,9.41627142,ilTV9VBjcl_SP7Upl0-YMUhuvHorqw01x6uDaCpw-yY=
Krankenschwester/-pfleger,Gesundheits- und Krankenpfleger 4200 € + Benefits (m/w/d),12032-RE2249681-S,DIEPA GmbH Filiale Flensburg,2026-03-01,2026-03-01T08:00:14.539,2026-03-01,,24111,Kiel,null,Schleswig-Holstein,Deutschland,54.301929899,10.066551653,ilTV9VBjcl_SP7Upl0-YMUhuvHorqw01x6uDaCpw-yY=
